Postal Code,Borough,Neighbourhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.8113,-79.193
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7878,-79.1564
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7678,-79.1866
M1G,Scarborough,Woburn,43.7712,-79.2144
M1H,Scarborough,Cedarbrae,43.7686,-79.2389
M1J,Scarborough,Scarborough Village,43.7464,-79.2323
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7298,-79.2639
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7122,-79.2843
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.7247,-79.2312
M1N,Scarborough,"Birch Cliff, Cliffside West",43.6952,-79.2646
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7612,-79.2707
M1R,Scarborough,"Wexford, Maryvale",43.7507,-79.3003
M1S,Scarborough,Agincourt,43.7946,-79.2644
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7812,-79.3036
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8177,-79.2819
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.8016,-79.3216
M1X,Scarborough,Upper Rouge,43.834,-79.2069
M2H,North York,Hillcrest Village,43.8015,-79.3577
M2J,North York,"Fairview, Henry Farm, Oriole",43.7801,-79.3479
M2K,North York,Bayview Village,43.7797,-79.3813
M2L,North York,"York Mills, Silver Hills",43.7547,-79.3764
M2M,North York,"Willowdale, Newtonbrook",43.7915,-79.4103
M2N,North York,"Willowdale, Willowdale East",43.7673,-79.4111
M2P,North York,York Mills West,43.75,-79.3978
M2R,North York,"Willowdale, Willowdale West",43.7786,-79.445
M3A,North York,Parkwoods,43.7545,-79.33
M3B,North York,Don Mills,43.745,-79.359
M3C,North York,Don Mills,43.7334,-79.3329
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7535,-79.4472
M3J,North York,"Northwood Park, York University",43.7694,-79.4921
M3K,North York,Downsview,43.739,-79.4692
M3L,North York,Downsview,43.7334,-79.5116
M3M,North York,Downsview,43.7319,-79.4928
M3N,North York,Downsview,43.7568,-79.521
M4A,North York,Victoria Village,43.7276,-79.3148
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063,-79.3094
M4C,East York,Woodbine Heights,43.6913,-79.3116
M4E,East Toronto,The Beaches,43.6784,-79.2941
M4G,East York,Leaside,43.7124,-79.3644
M4H,East York,Thorncliffe Park,43.7059,-79.3464
M4J,East York,"East Toronto, Broadview North (Old East York)",43.6872,-79.3368
M4K,East Toronto,"The Danforth West, Riverdale",43.6803,-79.3538
M4L,East Toronto,"India Bazaar, The Beaches West",43.6693,-79.3155
M4M,East Toronto,Studio District,43.6561,-79.3406
M4N,Central Toronto,Lawrence Park,43.7301,-79.3935
M4P,Central Toronto,Davisville North,43.7135,-79.3887
M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7143,-79.4065
M4S,Central Toronto,Davisville,43.702,-79.3853
M4T,Central Toronto,"Moore Park, Summerhill East",43.6899,-79.3853
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6861,-79.4025
M4W,Downtown Toronto,Rosedale,43.6827,-79.373
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6684,-79.3689
M4Y,Downtown Toronto,Church and Wellesley,43.6656,-79.383
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6555,-79.3626
M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
M5E,Downtown Toronto,Berczy Park,43.6456,-79.3754
M5G,Downtown Toronto,Central Bay Street,43.6564,-79.38600000000002
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6496,-79.3833
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62300000000001,-79.3936
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6469,-79.3823
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6492,-79.3823
M5M,North York,"Bedford Park, Lawrence Manor East",43.7335,-79.4177
M5N,Central Toronto,Roselawn,43.7113,-79.4195
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6966,-79.41199999999998
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6736,-79.4035
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6629,-79.3987
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6541,-79.3978
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6404,-79.3995
M5W,Downtown Toronto,Stn A PO Boxes,43.6437,-79.3787
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6492,-79.3823
M6A,North York,"Lawrence Manor, Lawrence Heights",43.7223,-79.4504
M6B,North York,Glencairn,43.7081,-79.4479
M6C,York,Humewood-Cedarvale,43.6915,-79.4307
M6E,York,Caledonia-Fairbanks,43.6889,-79.4507
M6G,Downtown Toronto,Christie,43.6683,-79.4205
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6655,-79.4378
M6J,West Toronto,"Little Portugal, Trinity",43.648,-79.4177
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6383,-79.4301
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137,-79.4869
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6934,-79.4857
M6N,York,"Runnymede, The Junction North",43.6748,-79.4839
M6P,West Toronto,"High Park, The Junction South",43.6605,-79.4633
M6R,West Toronto,"Parkdale, Roncesvalles",43.6469,-79.4521
M6S,West Toronto,"Runnymede, Swansea",43.6512,-79.4828
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.7804,-79.2505
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6075,-79.5013
M8W,Etobicoke,"Alderwood, Long Branch",43.6021,-79.5402
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6518,-79.5076
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6325,-79.4939
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6256,-79.5231
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6662,-79.5282
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6505,-79.5517
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6437,-79.5767
M9L,North York,Humber Summit,43.7598,-79.5565
M9M,North York,"Humberlea, Emery",43.7366,-79.5401
M9N,York,Weston,43.7068,-79.517
M9P,Etobicoke,Westmount,43.6949,-79.5323
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6898,-79.5582
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7432,-79.5876
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7144,-79.5909
