Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Battery Park City,Park,Coffee Shop,Hotel,Memorial Site,Clothing Store,Gym,Plaza,Food Court,Gourmet Shop,Burger Joint
Carnegie Hill,Coffee Shop,Bar,Café,Yoga Studio,Gym,French Restaurant,Pizza Place,Bookstore,Cosmetics Shop,Wine Shop
Central Harlem,African Restaurant,Chinese Restaurant,Cosmetics Shop,French Restaurant,Seafood Restaurant,Bar,Art Gallery,American Restaurant,Bookstore,Fried Chicken Joint
Chelsea,Coffee Shop,Bakery,French Restaurant,Art Gallery,Ice Cream Shop,Wine Shop,Seafood Restaurant,American Restaurant,Cupcake Shop,Café
Chinatown,Chinese Restaurant,Bakery,Dessert Shop,Cocktail Bar,Shanghai Restaurant,Spa,American Restaurant,Optical Shop,Hotpot Restaurant,Ice Cream Shop
Civic Center,Coffee Shop,Gym / Fitness Center,Spa,Hotel,Cocktail Bar,French Restaurant,Yoga Studio,Sushi Restaurant,Park,American Restaurant
Clinton,Theater,Italian Restaurant,Gym / Fitness Center,Coffee Shop,Gym,American Restaurant,Sandwich Place,Hotel,Cocktail Bar,Spa
East Harlem,Mexican Restaurant,Deli / Bodega,Bakery,Thai Restaurant,Latin American Restaurant,Sandwich Place,Grocery Store,Beer Bar,Liquor Store,Taco Place
East Village,Bar,Pizza Place,Mexican Restaurant,Cocktail Bar,Korean Restaurant,Coffee Shop,Vietnamese Restaurant,Salon / Barbershop,Wine Bar,Bagel Shop
Financial District,Coffee Shop,Bar,Cocktail Bar,American Restaurant,Italian Restaurant,Gym / Fitness Center,Gym,Pizza Place,Café,Mexican Restaurant
Flatiron,Japanese Restaurant,New American Restaurant,Gym / Fitness Center,American Restaurant,Italian Restaurant,Mediterranean Restaurant,Gym,Coffee Shop,Furniture / Home Store,Sporting Goods Shop
Gramercy,Bar,Bagel Shop,Italian Restaurant,American Restaurant,Pizza Place,Grocery Store,Mexican Restaurant,Playground,Cocktail Bar,Park
Greenwich Village,Italian Restaurant,Sushi Restaurant,Clothing Store,Café,Indian Restaurant,American Restaurant,Gym,Dessert Shop,Boutique,Chinese Restaurant
Hamilton Heights,Pizza Place,Coffee Shop,Café,Deli / Bodega,Mexican Restaurant,Liquor Store,Indian Restaurant,Sushi Restaurant,Cocktail Bar,Sandwich Place
Hudson Yards,Gym / Fitness Center,Hotel,American Restaurant,Café,Italian Restaurant,Restaurant,Park,Dog Run,Coffee Shop,Gym
Inwood,Mexican Restaurant,Lounge,Restaurant,Café,Bakery,Park,Frozen Yogurt Shop,Deli / Bodega,Pizza Place,Chinese Restaurant
Lenox Hill,Italian Restaurant,Sushi Restaurant,Cocktail Bar,Coffee Shop,Pizza Place,Gym / Fitness Center,Burger Joint,Gym,Café,Thai Restaurant
Lincoln Square,Café,Gym / Fitness Center,Plaza,Italian Restaurant,Concert Hall,Performing Arts Venue,Theater,Indie Movie Theater,Wine Shop,Gym
Little Italy,Bakery,Chinese Restaurant,Café,Cocktail Bar,Hotel,Bubble Tea Shop,Sandwich Place,Salon / Barbershop,Italian Restaurant,Mediterranean Restaurant
Lower East Side,Chinese Restaurant,Café,Bakery,Latin American Restaurant,Japanese Restaurant,Art Gallery,Coffee Shop,Filipino Restaurant,Bar,Tennis Court
